ID,Week,Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Author,Status,Notes
1,Week 1,Organizational Culture ,What are the three levels of organizational culture and which two levels affect the outward expression of culture? ,"Artifacts, strategy, and structure; strategy and structure shape artifacts.","Artifacts, values, and assumptions; values and assumptions shape artifacts.","Norms, values, and beliefs; norms and beliefs shape values","Artifacts, policies, and behaviors; policies and behaviors shape artifacts. ",B,Hard,Mason ,Approved,
2,Week 1,Organizational Culture," Nike is known for innovation, high performance, and a competitive environment focused on growth. Which characteristic is LEAST consistent with this culture?",Innovation and risk taking, Outcome orientation,Aggressiveness,Stability,D,Medium,Cami,Approved,
3,Week 1,Organizational Culture," A company values strict rules and hierarchy, but one department encourages risk-taking and challenges authority. What form of culture does this BEST represent?",Strong culture,Subculture,Counterculture,Formalization,C,Medium,Cami,Approved,
4,Week 1,Levels of Organizational Culture," An applicant observes open workspaces, an open-door policy, and social events at a company and concludes the company values collaboration. What level of organizational culture is being observed, and what level is being inferred?","Observing values, inferring artifacts","Observing artifacts, inferring values","Observing assumptions, inferring artifacts","Observing values, inferring assumptions",B,Medium,Cami,Approved,
5,Week 1,Organizational Structure,"A company organizes its structure so that employees are grouped into departments such as marketing, finance, and human resources. What type of departmentalization is this?",Functional,Product,Process,Geographic,A,Easy,Cami,Approved,
6,Week 1,Organizational Culture,Which aspect of organizational culture is demonstrated when a company regularly celebrates top employees with formal award ceremonies?,Mission statement, Rituals,Physical layout,Stories,B,Easy,Cami,Approved,
7,Week 1,Elements of Organizational Structure,Which of the following is NOT a benefit of using a high work specification?,Employees struggle with burnout,Easy tasks can be done by unskilled laborers,It makes assembly much faster,Employees can do one speific task well,A,Easy,Kendall,Approved,
8,Week 1,Mechanistic and Organic Structure,"A company wants to create a completely new technology line, with nothing that's even been done before. This company will likely use which of the following strategies?",Cost Minimization,Immitation,Innovation,,C,Easy,Kendall,Approved,
9,Week 1,Matrix Organizations,"""Cross between a traditional functional structure with a product structure"" is a definition for what?",Assembly Line,Matrix Organization,An LLC,Chain of Command,B,Medium,Kendall,Approved,
10,Week 1,Elements of Organizational Structure,What are common ways for a company to departmentalize?,"People, place, pay, job and scale","Mechanical, electrial, phsyical, financial, and powerful","Function, product, geography, process, and customer","Factory, sales, time, outlook, and department",C,Medium,Kendall,Approved,
11,Week 1,Levels of Organizational Culture,What is the deepest level of organizational culture?,Assumptions,Artifacts,Values,,A,Easy,Kendall,Approved,
12,Week 2,Job Performance Criteria,Which two Major Performance Criteria are difficult to predict and have little stability?,Production+Sales,Accidents+Theft,Counterproductive Work Behavior+Citzenship Behavior,Absenteeism+Presenteeism,B,Medium,Kendall,Approved,
13,Week 2,Job Satisfaction,"An employee is unhappy with their organization's lunchtime policies. They decide to write a complaint to their manager, and HR. Which option from the Job Dissatisfaction Framework did they use?",Exit,Loyalty,Voice,Neglect,C,Easy,Kendall,Approved,
14,Week 2,Employee Engagement,Employee Engagement has been described by some specialists as a sepctrum. What labels are on either side of that spectrum?,Engagement and Burnout,Happiness and Sadness,Satisfaction and Complaints,Vigor and Shutdown,A,Easy,Kendall,Approved,
15,Week 2,Organizational Justice,Which type of organizational justice is most closely related to organizational attitudes and behaviors?,Distributive Justice,Ineractional Justice,Procedural Justice,,C,Medium,Kendall,Approved,
16,Week 2,Organizational Commitment,Which of the following descriptions matches the definiton of affective commitment?,An employee's emotional attactment and identification with their work,"The costs an employee associates with their work, such as pay or benefits",An employee's feeling of obligation to remain loyal to their company,,A,Medium,Kendall,Approved,
17,Week 3,Challenges of Diversity Management,A white male CEO chooses a young white male protege in an organization that doesn't have assigned mentorship roles. What phenomenon does this display?,Ethnocentrism Phenomenon,Similarity-Attractive Phenomenon,Machiavellianism Phenomenon,Groupthink Phenomenon,B,Medium,Kendall,Approved,
18,Week 3,Demographic Diversity,Hiring discrimination has not decreased in the past 25 years for which race?,Black Americans,Asian Americans ,Hispanic Americans ,Native Americans+Pacific Islanders,A,Easy,Kendall,Approved,
19,Week 3,Cultural Diversity,"If an American corporation vists a foreign country, and they ask some subordinates of the foreign country if they'd be willing to do their jobs differently for a week with looser rules as part of an experiment. The subordinates are very uncomforable with the situation and don't like the idea of not having strict rules. What cultural dimension does this country display. ",High Power Distance,Low Individualsim,Low Uncertainty Avoidance,High Uncertainty Avoidance,D,Hard,Kendall,Approved,
20,Week 3,Values,Which of the following values is NOT an instrumental value?,Honesty,Prosperity,Ambition,Ethical,B,Easy,Kendall,Approved,
21,Week 3,Big Five Personality Traits,"Somone in the workplace who is typically anxious, moody, unapproachable, and tempermental is likely high in which of the big five personalities?",Conscientiousness,Openness,Neuroticisim,Extraversion,C,Easy,Kendall,Approved,
22,Week 4,Group Cohesiveness,"A manager builds a team of low performers for a project. Before assigning the project, he makes the group build cohesivness. His plan works, and the group is now comfortable with each other. However, when he assigns the project, there is low productivity. What should the manager have done before building cohesiveness?",Incorporate peer evaluations,Establish group norms,Have a storming stage,Assign a devil's advocate,B,Medium,Kendall,Approved,
23,Week 4,Punctuated-Equilibrium Model,The punctuated-equilibrium model suggests that group productivity will have a massive leap in effort during which stage when approaching a deadline? ,The halfway point,The beginning,Right at the end,There is a natural and constant effort throughout the timeline,A,Easy,Kendall,Approved,
24,Week 4,Five-Stage Model of Group Development,"Which description fits the ""Storming"" stage in the model of group development",The group meets and they're unsure of their purpose or structure,"Close relationships form between the group, a purpose is identified, and a set of behaviors is applied","The group wraps up their tasks, celebrates, and mourns the loss of their team","Intragroup conflict, members are resistant to the constraints of a group",D,Medium,Kendall,Approved,
25,Week 4,Team Interdependence,A group of highschoolers get together for a science fair project. The leader determines that Person A will do the reasearch. Perosn B will create the posterboard. Person C will create the experiment model. Person D will transport the project. Which type of team interdependence is this group displaying?,Sequential Interdependence,Outcome Interdependence,Pooled Interdependence,Reciprocal Interdependence,C,Medium,Kendall,Approved,
26,Week 4,Process Gain and Process Loss,What is the tendency to occasionally perform tasks better/faster in the presence of others called?,Social Facilitation,Social Loafing,Social Inhibition,Groupthink     ,A,Easy,Kendall,Approved,
27,Week 5,Decision Making Models,"The Rational-Decison-Making Model is a series of steps that leads an individual to the best decision they can make. However, people don't use it to make small, everyday decisions becasue this model typically leads to what?",Implementing a decision,Analysis Paralysis,Satisfice,Running through mental models,B,Medium,Kendall,Approved,
28,Week 5,Attribution Theory,"You're at a coffee shop with your frined who ALWAYS orders a 16-oz iced vanilla latte, no matter what coffee shop they go to. Today, they ordered a 20-oz iced lavender chair. This break of behavior falls under which category of covariation information?",Consistency,Distinctivness,Consensus,Situational,A,Medium,Kendall,Approved,
29,Week 5,Anchoring Heuristic,Which of the folllowing is an example of anchoring being used in the business world?,A manager asks a worker to spin a wheel to determine their bonus,A car salesman acts extremely naively with customers to improve sales,A marketing intern chooses specific colros and patterns for a new rebrand,"An interviewee states a number for their salary, and the interviewer adjusts from that number",D,Medium,Kendall,Approved,
